SAMPLE_ID SAMPLE_LOC RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z
1 A1 37.647059 75.294118 0.000000 23.674553 40.183521 6.509687
2 B1 37.647059 75.294118 12.549020 23.935265 40.287790 7.882869
3 C1 37.647059 75.294118 25.098039 24.599995 40.553640 11.384028
4 D1 37.647059 75.294118 37.647059 25.785948 41.027949 17.630492
5 E1 37.647059 75.294118 50.196078 27.571076 41.741889 27.032830
6 F1 37.647059 75.294118 62.745098 30.020142 42.721365 39.932162
7 G1 37.647059 75.294118 75.294118 33.189721 43.989000 56.626459
8 H1 37.647059 75.294118 87.843137 37.130014 45.564874 77.380138
9 I1 37.647059 75.294118 100.000000 41.725752 47.402885 101.586076
10 A2 37.647059 87.843137 0.000000 31.480746 55.793809 9.111789
11 B2 37.647059 87.843137 12.549020 31.741458 55.898078 10.484971
12 C2 37.647059 87.843137 25.098039 32.406188 56.163929 13.986129
13 D2 37.647059 87.843137 37.647059 33.592141 56.638237 20.232593
14 E2 37.647059 87.843137 50.196078 35.377269 57.352177 29.634931
15 F2 37.647059 87.843137 62.745098 37.826336 58.331653 42.534263
16 G2 37.647059 87.843137 75.294118 40.995914 59.599288 59.228561
17 H2 37.647059 87.843137 87.843137 44.936207 61.175162 79.982240
18 I2 37.647059 87.843137 100.000000 49.531945 63.013173 104.188177
19 A3 37.647059 100.000000 0.000000 40.585456 74.000781 12.146735
20 B3 37.647059 100.000000 12.549020 40.846168 74.105050 13.519917
21 C3 37.647059 100.000000 25.098039 41.510898 74.370901 17.021075
22 D3 37.647059 100.000000 37.647059 42.696851 74.845209 23.267539
23 E3 37.647059 100.000000 50.196078 44.481979 75.559150 32.669877
24 F3 37.647059 100.000000 62.745098 46.931046 76.538625 45.569210
25 G3 37.647059 100.000000 75.294118 50.100624 77.806261 62.263507
26 H3 37.647059 100.000000 87.843137 54.040917 79.382134 83.017186
27 I3 37.647059 100.000000 100.000000 58.636655 81.220146 107.223124
28 A4 50.196078 0.000000 0.000000 8.902304 4.590068 0.417140
29 B4 50.196078 0.000000 12.549020 9.163017 4.694337 1.790322
30 C4 50.196078 0.000000 25.098039 9.827746 4.960188 5.291481
31 D4 50.196078 0.000000 37.647059 11.013700 5.434496 11.537945
32 E4 50.196078 0.000000 50.196078 12.798827 6.148437 20.940283
33 F4 50.196078 0.000000 62.745098 15.247894 7.127912 33.839615
34 G4 50.196078 0.000000 75.294118 18.417473 8.395548 50.533913
35 H4 50.196078 0.000000 87.843137 22.357765 9.971421 71.287591
36 I4 50.196078 0.000000 100.000000 26.953504 11.809433 95.493529
37 A5 50.196078 12.549020 0.000000 9.418807 5.622934 0.589310
38 B5 50.196078 12.549020 12.549020 9.679519 5.727203 1.962492
39 C5 50.196078 12.549020 25.098039 10.344249 5.993054 5.463651
40 D5 50.196078 12.549020 37.647059 11.530202 6.467362 11.710115
41 E5 50.196078 12.549020 50.196078 13.315330 7.181302 21.112453
42 F5 50.196078 12.549020 62.745098 15.764396 8.160778 34.011785
43 G5 50.196078 12.549020 75.294118 18.933975 9.428413 50.706082
44 H5 50.196078 12.549020 87.843137 22.874268 11.004287 71.459761
45 I5 50.196078 12.549020 100.000000 27.470006 12.842298 95.665699
46 A6 50.196078 25.098039 0.000000 10.735716 8.256399 1.028286
47 B6 50.196078 25.098039 12.549020 10.996429 8.360668 2.401468
48 C6 50.196078 25.098039 25.098039 11.661158 8.626519 5.902627
49 D6 50.196078 25.098039 37.647059 12.847112 9.100827 12.149091
50 E6 50.196078 25.098039 50.196078 14.632239 9.814768 21.551429
51 F6 50.196078 25.098039 62.745098 17.081306 10.794243 34.450761
52 G6 50.196078 25.098039 75.294118 20.250885 12.061879 51.145059
53 H6 50.196078 25.098039 87.843137 24.191177 13.637752 71.898737
54 I6 50.196078 25.098039 100.000000 28.786916 15.475764 96.104675
55 A7 50.196078 37.647059 0.000000 13.085233 12.954800 1.811470
56 B7 50.196078 37.647059 12.549020 13.345945 13.059069 3.184652
57 C7 50.196078 37.647059 25.098039 14.010675 13.324919 6.685810
58 D7 50.196078 37.647059 37.647059 15.196628 13.799228 12.932274
59 E7 50.196078 37.647059 50.196078 16.981756 14.513168 22.334612
60 F7 50.196078 37.647059 62.745098 19.430822 15.492644 35.233944
61 G7 50.196078 37.647059 75.294118 22.600401 16.760279 51.928242
62 H7 50.196078 37.647059 87.843137 26.540694 18.336153 72.681921
63 I7 50.196078 37.647059 100.000000 31.136432 20.174164 96.887858
64 A8 50.196078 50.196078 0.000000 16.621785 20.026954 2.990337
65 B8 50.196078 50.196078 12.549020 16.882497 20.131223 4.363519
66 C8 50.196078 50.196078 25.098039 17.547227 20.397073 7.864677
67 D8 50.196078 50.196078 37.647059 18.733180 20.871381 14.111141
68 E8 50.196078 50.196078 50.196078 20.518308 21.585322 23.513480
69 F8 50.196078 50.196078 62.745098 22.967374 22.564798 36.412812
70 G8 50.196078 50.196078 75.294118 26.136953 23.832433 53.107109
71 H8 50.196078 50.196078 87.843137 30.077246 25.408307 73.860788
72 I8 50.196078 50.196078 100.000000 34.672984 27.246318 98.066726
73 A9 50.196078 62.745098 0.000000 21.473680 29.729440 4.607658
74 B9 50.196078 62.745098 12.549020 21.734392 29.833709 5.980840
75 C9 50.196078 62.745098 25.098039 22.399122 30.099560 9.481999
