SAMPLE_ID SAMPLE_LOC RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z
1 A1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 B1 0.000000 0.000000 12.549020 0.260712 0.104269 1.373182
3 C1 0.000000 0.000000 25.098039 0.925442 0.370120 4.874340
4 D1 0.000000 0.000000 37.647059 2.111395 0.844428 11.120804
5 E1 0.000000 0.000000 50.196078 3.896523 1.558368 20.523143
6 F1 0.000000 0.000000 62.745098 6.345590 2.537844 33.422475
7 G1 0.000000 0.000000 75.294118 9.515168 3.805479 50.116772
8 H1 0.000000 0.000000 87.843137 13.455461 5.381353 70.870451
9 I1 0.000000 0.000000 100.000000 18.051199 7.219365 95.076389
10 J1 12.549020 0.000000 0.000000 0.595644 0.307117 0.027910
11 K1 12.549020 0.000000 12.549020 0.856356 0.411385 1.401092
12 L1 12.549020 0.000000 25.098039 1.521086 0.677236 4.902251
13 M1 12.549020 0.000000 37.647059 2.707039 1.151544 11.148715
14 N1 12.549020 0.000000 50.196078 4.492167 1.865485 20.551053
15 O1 12.549020 0.000000 62.745098 6.941234 2.844960 33.450385
16 P1 12.549020 0.000000 75.294118 10.110812 4.112596 50.144683
17 Q1 12.549020 0.000000 87.843137 14.051105 5.688470 70.898361
18 R1 12.549020 0.000000 100.000000 18.646843 7.526481 95.104299
19 A2 25.098039 0.000000 0.000000 2.114338 1.090162 0.099073
20 B2 25.098039 0.000000 12.549020 2.375050 1.194431 1.472255
21 C2 25.098039 0.000000 25.098039 3.039780 1.460282 4.973413
22 D2 25.098039 0.000000 37.647059 4.225733 1.934590 11.219877
23 E2 25.098039 0.000000 50.196078 6.010861 2.648531 20.622215
24 F2 25.098039 0.000000 62.745098 8.459928 3.628006 33.521547
25 G2 25.098039 0.000000 75.294118 11.629506 4.895642 50.215845
26 H2 25.098039 0.000000 87.843137 15.569799 6.471515 70.969524
27 I2 25.098039 0.000000 100.000000 20.165537 8.309527 95.175461
28 J2 0.000000 12.549020 0.000000 0.516502 1.032866 0.172170
29 K2 0.000000 12.549020 12.549020 0.777215 1.137135 1.545352
30 L2 0.000000 12.549020 25.098039 1.441944 1.402985 5.046510
31 M2 0.000000 12.549020 37.647059 2.627898 1.877294 11.292974
32 N2 0.000000 12.549020 50.196078 4.413025 2.591234 20.695312
33 O2 0.000000 12.549020 62.745098 6.862092 3.570710 33.594645
34 P2 0.000000 12.549020 75.294118 10.031671 4.838345 50.288942
35 Q2 0.000000 12.549020 87.843137 13.971963 6.414219 71.042621
36 R2 0.000000 12.549020 100.000000 18.567702 8.252230 95.248559
37 A3 12.549020 12.549020 0.000000 1.112146 1.339982 0.200080
38 B3 12.549020 12.549020 12.549020 1.372858 1.444251 1.573262
39 C3 12.549020 12.549020 25.098039 2.037588 1.710102 5.074421
40 D3 12.549020 12.549020 37.647059 3.223542 2.184410 11.320885
41 E3 12.549020 12.549020 50.196078 5.008669 2.898351 20.723223
42 F3 12.549020 12.549020 62.745098 7.457736 3.877826 33.622555
43 G3 12.549020 12.549020 75.294118 10.627315 5.145462 50.316852
44 H3 12.549020 12.549020 87.843137 14.567607 6.721336 71.070531
45 I3 12.549020 12.549020 100.000000 19.163346 8.559347 95.276469
46 J3 25.098039 12.549020 0.000000 2.630840 2.123028 0.271243
47 K3 25.098039 12.549020 12.549020 2.891553 2.227297 1.644425
48 L3 25.098039 12.549020 25.098039 3.556282 2.493148 5.145583
49 M3 25.098039 12.549020 37.647059 4.742236 2.967456 11.392047
50 N3 25.098039 12.549020 50.196078 6.527363 3.681396 20.794385
51 O3 25.098039 12.549020 62.745098 8.976430 4.660872 33.693717
52 P3 25.098039 12.549020 75.294118 12.146009 5.928507 50.388015
53 Q3 25.098039 12.549020 87.843137 16.086301 7.504381 71.141694
54 R3 25.098039 12.549020 100.000000 20.682040 9.342393 95.347631
55 A4 0.000000 25.098039 0.000000 1.833412 3.666331 0.611146
